Education,Occupation,Proficiency,Level of Frustration,Curiosity,Tech Savviness,Tech Flexibility,Level of Intuition,Pain Points,Functional Need,Emotional Need,Product Type
Vocational Training,Customer Support,10,9,0,2,2,6,9,3,10,HR Management Software
PhD,Engineer,9,0,3,1,7,2,0,10,6,Photo Editing Software
Trade School,IT Consultant,6,1,4,3,3,0,8,4,5,Music Production Software
Professional Training,Software Engineer,4,5,4,7,4,3,0,0,6,SaaS Platform
High School,Mechanic,2,6,7,3,3,2,7,5,4,Collaboration Tool
Vocational Training,Project Manager,10,5,7,0,3,0,3,10,8,Travel App
PhD,Engineer,1,3,8,1,9,4,0,3,6,Cybersecurity Tool
Vocational Training,Nurse,7,5,6,5,0,2,8,2,3,Music Production Software
Professional Training,Product Manager,7,2,10,6,10,4,2,1,5,Streaming Service
No Formal Education,Waiter,7,0,1,3,5,1,8,6,9,E-commerce
High School,Retail Worker,3,6,10,6,4,0,5,9,9,Mobile App
Self-Taught,Data Scientist,2,3,3,9,2,3,9,4,0,Data Analytics Tool
MBA,Architect,10,9,5,5,0,4,6,1,7,Virtual Reality Tool
PhD,Engineer,8,8,9,6,8,2,5,8,5,HR Management Software
Trade School,Web Developer,7,7,2,8,5,3,9,9,10,Remote Work Tool
Master's Degree,Engineer,6,0,1,4,7,5,4,7,0,Food Delivery App
High School,Sales Agent,10,6,2,3,1,5,0,10,6,Photo Editing Software
Bachelor's Degree,Architect,4,3,1,0,5,0,0,10,8,Mobile App
Bachelor's Degree,Teacher,7,4,2,0,4,9,8,9,6,Health & Fitness App
Vocational Training,Investment Banker,9,8,6,3,4,6,1,7,6,Cloud Storage
Bachelor's Degree,Teacher,10,5,10,4,6,7,5,7,7,Food Delivery App
Trade School,Dentist,7,10,3,3,4,3,4,2,1,Photo Editing Software
MBA,Tourism Manager,1,9,9,3,1,2,6,10,5,Design Software
Trade School,Retail Worker,2,8,4,2,4,4,7,5,1,Food Delivery App
MBA,Web Developer,3,7,0,7,5,6,5,8,0,HR Management Software
Postdoctoral Studies,Construction Manager,3,7,5,0,5,2,1,5,4,Remote Work Tool
Professional Training,Product Manager,9,7,10,0,9,5,3,7,0,IoT Platform
Associate Degree,Retail Worker,9,2,0,4,5,5,5,10,4,E-commerce
PhD,Researcher,0,10,3,6,4,5,0,6,6,Virtual Reality Tool
Certification,Freelance Designer,8,10,3,5,0,9,5,7,6,Video Editing Software
PhD,Researcher,2,7,9,6,5,0,3,8,6,E-learning Tool
Self-Taught,Civil Engineer,0,5,9,2,5,0,4,7,3,Gaming Platform
Professional Training,Electrician,8,5,3,2,3,3,6,4,1,Mobile App
Certification,Engineer,3,1,4,0,10,3,8,5,5,SaaS Platform
MBA,Product Manager,8,0,7,6,8,3,0,10,9,E-learning Tool
Doctoral Degree,Photographer,8,0,9,0,6,0,2,4,0,Music Production Software
Postdoctoral Studies,Dentist,4,7,7,3,2,3,2,8,3,IoT Platform
Doctoral Degree,Construction Worker,8,9,1,6,6,0,5,9,4,Communication Tool
PhD,Engineer,0,3,8,4,9,4,7,7,9,Music Production Software
Doctoral Degree,Editor,7,1,5,2,3,1,5,9,1,Business Intelligence Software
No Formal Education,Sales Agent,6,1,8,5,6,0,7,10,1,Cybersecurity Tool
High School,Retail Worker,7,0,2,4,1,2,5,9,3,Mobile App
Certification,Electrician,0,10,3,0,2,5,0,7,1,Travel App
High School,Retail Worker,9,7,0,5,6,0,3,2,5,Food Delivery App
No Formal Education,Construction Worker,1,6,1,3,0,3,2,8,9,Project Management Tool
Associate's Degree,UX/UI Designer,3,5,1,5,5,1,1,6,6,Mobile App
Associate Degree,Social Worker,1,5,9,2,2,2,4,7,7,Mobile App
PhD,Researcher,1,10,9,1,3,5,9,8,6,Music Production Software
Certification,Architect,3,3,3,5,6,6,0,0,10,Augmented Reality App
PhD,Scientist,9,1,10,5,4,5,1,1,10,Mobile App
Doctoral Degree,Product Manager,8,6,1,0,9,0,7,5,3,Customer Feedback Tool
Master's Degree,University Professor,7,10,8,4,3,0,0,3,7,CRM Tool
Postdoctoral Studies,Social Worker,9,3,7,4,4,5,9,4,3,Gaming Platform
Postdoctoral Studies,Retail Worker,1,0,2,1,1,5,8,1,9,E-commerce
Associate's Degree,Nurse,1,7,8,5,3,6,4,7,0,Business Intelligence Software
High School,Gardener,3,10,4,3,5,4,4,10,1,HR Management Software
Certification,Scientist,10,4,9,5,3,6,0,0,8,Communication Tool
Self-Taught,Copywriter,3,2,0,1,5,5,1,0,5,SaaS Platform
Vocational Training,Project Manager,3,0,2,4,2,5,9,6,10,Educational Platform
Vocational Training,Tourism Manager,0,8,2,6,1,4,6,3,1,Real Estate Software
High School,Gardener,2,5,10,1,2,5,2,8,6,E-learning Tool
Associate Degree,Event Planner,3,1,2,2,5,6,6,3,0,Travel App
Self-Taught,Chef,10,3,6,2,3,5,10,1,2,Virtual Reality Tool
Postdoctoral Studies,Event Planner,8,7,3,6,6,0,0,1,7,Cloud Storage
Graduate Diploma,Engineer,10,1,7,1,9,1,2,5,1,Project Management Tool
High School,Mechanic,10,3,9,0,6,4,7,0,3,Data Analytics Tool
Postdoctoral Studies,Gardener,4,0,3,4,5,3,2,4,0,Health & Fitness App
Associate's Degree,Customer Support,10,8,5,5,1,1,10,4,10,Data Analytics Tool
Professional Training,Marketer,3,6,6,1,6,1,2,0,10,Enterprise Software
Associate Degree,Event Planner,3,0,5,4,2,3,9,3,3,Finance & Accounting Software
Associate's Degree,Nurse,2,7,4,6,0,3,6,2,10,Productivity Tool
Associate's Degree,Customer Support,6,10,7,6,1,4,2,0,2,Virtual Reality Tool
PhD,Researcher,5,0,10,3,3,6,4,6,2,Communication Tool
Certification,Public Speaker,8,8,10,3,3,3,3,2,5,Mobile App
Bachelor's Degree,Designer,0,10,10,4,3,2,6,2,7,Streaming Service
Doctoral Degree,Public Speaker,2,1,0,5,6,4,9,6,10,CRM Tool
Certification,Event Planner,9,0,7,5,6,6,3,7,10,IoT Platform
Self-Taught,Realtor,7,3,7,5,6,0,7,5,8,Cloud Storage
Doctoral Degree,Web Developer,0,9,6,9,5,4,6,9,5,Blockchain Platform
High School,Gardener,0,1,8,4,1,2,0,7,9,Design Software
Associate Degree,IT Consultant,3,9,3,1,4,3,5,4,9,Enterprise Software
Bachelor's Degree,Software Engineer,9,5,4,8,6,5,0,10,10,Artificial Intelligence Tool
Self-Taught,Product Manager,0,8,0,2,10,2,6,10,9,Virtual Reality Tool
Self-Taught,Public Relations Specialist,4,1,1,2,0,5,8,9,3,HR Management Software
Certification,Nurse,0,1,5,6,3,0,3,2,7,IoT Platform
Master's Degree,Engineer,3,8,8,2,7,3,7,0,0,Design Software
Graduate Diploma,Data Scientist,5,2,0,10,2,1,4,2,8,Business Intelligence Software
Associate's Degree,Customer Support,1,0,8,6,6,1,7,1,7,Design Software
Self-Taught,Chef,8,0,1,0,1,5,6,7,2,Data Analytics Tool
High School,Sales Agent,10,6,2,0,6,3,4,6,7,Learning Management System
PhD,University Professor,10,3,6,2,4,2,10,9,9,E-learning Tool
Vocational Training,Copywriter,8,0,10,1,5,6,10,5,3,Learning Management System
No Formal Education,Waiter,4,9,9,2,5,4,2,2,9,Customer Feedback Tool
Postdoctoral Studies,Mechanic,2,5,0,1,4,1,9,8,2,Educational Platform
No Formal Education,Retail Worker,3,5,5,4,6,6,1,7,10,Mobile App
Postdoctoral Studies,Chef,5,8,3,6,6,1,0,4,9,Video Editing Software
Associate's Degree,Photographer,9,3,3,3,4,1,10,0,6,E-commerce
Associate Degree,Electrician,10,10,9,2,2,5,6,1,4,Marketing Automation Tool
Professional Training,Sales Agent,5,2,9,3,2,5,6,9,0,Educational Platform
Postdoctoral Studies,Nurse,3,5,4,4,6,0,2,9,9,Music Production Software
No Formal Education,Retail Worker,4,9,2,0,1,3,4,8,6,Food Delivery App
PhD,University Professor,5,1,6,1,5,5,2,5,10,E-learning Tool
No Formal Education,Construction Worker,10,10,2,5,6,4,6,9,6,Communication Tool
Postdoctoral Studies,Graphic Designer,1,5,10,6,3,4,4,1,8,Web Application
Trade School,Event Planner,4,0,1,1,0,4,1,5,8,Productivity Tool
Postdoctoral Studies,Business Analyst,5,8,5,5,5,5,4,10,6,Cloud Storage
Associate's Degree,Photographer,10,2,6,1,3,6,5,5,8,Virtual Reality Tool
Professional Training,Social Media Manager,6,9,8,6,4,2,2,3,5,Finance & Accounting Software
No Formal Education,Waiter,5,3,9,6,0,0,6,6,1,Cloud Storage
Vocational Training,Physician,9,8,8,5,0,1,8,3,6,Photo Editing Software
Professional Training,Nurse,7,4,1,5,3,4,7,8,8,Gaming Platform
Master's Degree,Scientist,7,3,1,4,4,5,6,8,6,E-learning Tool
Graduate Diploma,Lawyer,3,4,1,4,3,3,8,4,8,Remote Work Tool
Associate Degree,Social Worker,0,10,6,1,5,5,0,8,7,Photo Editing Software
No Formal Education,Sales Agent,4,3,9,2,2,0,2,2,9,Food Delivery App
Certification,Unemployed,4,5,5,1,6,2,10,1,6,E-commerce
Master's Degree,Scientist,5,8,10,5,3,2,2,2,8,Personal Finance Tool
Vocational Training,Accountant,6,1,3,1,3,4,0,6,8,Health & Fitness App
Postdoctoral Studies,Data Scientist,8,9,7,9,4,5,1,10,9,Business Intelligence Software
Postdoctoral Studies,Editor,9,6,4,0,3,4,2,5,3,Web Application
Doctoral Degree,Waiter,8,6,2,5,0,2,6,7,9,Artificial Intelligence Tool
MBA,Tourism Manager,2,9,4,1,4,2,6,10,8,Enterprise Software
Master's Degree,Scientist,6,1,8,3,1,4,10,2,5,Real Estate Software
High School,Mechanic,2,1,3,6,5,0,4,3,8,CRM Tool
Master's Degree,Pharmacist,4,5,9,3,1,1,9,9,0,CRM Tool
High School,Mechanic,3,7,5,4,3,4,4,7,10,Cloud Storage
Self-Taught,Product Manager,4,5,10,3,7,3,3,6,8,Customer Feedback Tool
Bachelor's Degree,Teacher,9,4,4,0,2,10,6,10,1,Data Analytics Tool
Certification,Mechanic,3,4,2,2,3,1,5,10,7,Food Delivery App
Self-Taught,Graphic Designer,5,3,9,0,0,6,6,0,0,E-learning Tool
Bachelor's Degree,Designer,8,5,10,0,3,2,7,8,7,Communication Tool
PhD,University Professor,3,6,8,3,3,4,4,9,6,Educational Platform
PhD,Engineer,8,2,1,3,7,0,6,9,9,E-commerce
Associate Degree,Construction Manager,6,1,0,6,2,2,3,8,5,Communication Tool
Master's Degree,Scientist,10,2,6,1,6,4,10,1,5,IoT Platform
Bachelor's Degree,Product Manager,6,8,1,1,8,2,6,1,4,Communication Tool
Vocational Training,Graphic Designer,4,8,0,4,0,0,10,2,0,Real Estate Software
PhD,Engineer,3,6,1,4,9,5,9,7,2,Personal Finance Tool
Certification,Retail Worker,8,9,0,3,2,6,7,4,3,Food Delivery App
Self-Taught,Freelance Designer,0,0,7,1,3,9,9,2,8,Design Software
High School,Construction Worker,1,8,9,3,3,1,8,5,1,Project Management Tool
Associate's Degree,Nurse,9,7,7,2,1,6,0,8,2,Blockchain Platform
Doctoral Degree,Engineer,7,1,7,1,8,0,9,5,4,Music Production Software
Self-Taught,Public Relations Specialist,2,10,2,6,4,2,1,5,0,Project Management Tool
Doctoral Degree,Artist,7,1,2,5,3,10,9,0,4,Cloud Storage
Vocational Training,Mechanic,3,6,0,1,0,3,7,7,5,CRM Tool
No Formal Education,Gardener,8,0,3,6,6,4,10,3,8,Cloud Storage
Postdoctoral Studies,Civil Engineer,3,7,7,1,2,2,4,5,3,Educational Platform
PhD,Engineer,3,8,6,6,7,6,1,4,7,Collaboration Tool
PhD,Researcher,9,1,7,6,6,4,1,4,3,Food Delivery App
Master's Degree,Scientist,0,3,0,0,6,1,10,6,10,Design Software
Doctoral Degree,Public Speaker,1,4,1,1,1,0,8,6,9,Video Editing Software
Associate Degree,Photographer,1,9,9,0,1,1,6,9,7,Blockchain Platform
Professional Training,Chef,5,5,5,4,1,5,2,0,2,Personal Finance Tool
Professional Training,Editor,2,0,7,5,3,5,8,7,0,Artificial Intelligence Tool
Doctoral Degree,Electrician,7,2,5,1,5,5,3,1,10,Gaming Platform
Trade School,Tech CEO,4,6,3,4,8,3,6,1,4,Project Management Tool
Vocational Training,Public Relations Specialist,4,5,6,0,2,3,9,3,7,Survey Platform
Professional Training,Engineer,2,4,2,6,7,2,2,9,2,Personal Finance Tool
Associate's Degree,UX/UI Designer,9,4,10,3,3,3,4,1,2,Mobile App
Vocational Training,IT Consultant,0,6,5,1,4,6,5,10,3,Survey Platform
No Formal Education,Sales Agent,3,4,5,5,5,4,5,6,8,Remote Work Tool
Associate's Degree,UX/UI Designer,7,2,7,3,0,0,6,8,1,Mobile App
Graduate Diploma,HR Manager,6,2,0,2,2,5,8,0,2,Productivity Tool
Certification,Business Analyst,2,1,5,6,1,0,9,4,2,E-learning Tool
Postdoctoral Studies,Architect,3,1,10,0,0,6,7,10,6,Remote Work Tool
MBA,Investment Banker,6,9,7,0,0,2,6,5,2,Health & Fitness App
Postdoctoral Studies,Editor,3,4,4,5,4,2,1,3,10,Video Editing Software
Graduate Diploma,Copywriter,10,9,1,1,6,4,8,4,6,Enterprise Software
Professional Training,Pharmacist,8,7,6,4,3,2,7,6,6,Streaming Service
Master's Degree,Pharmacist,4,3,7,2,3,4,3,0,7,Learning Management System
No Formal Education,Construction Worker,9,3,6,5,2,4,1,5,1,Project Management Tool
Bachelor's Degree,Teacher,3,5,8,1,2,9,10,8,3,Streaming Service
PhD,Scientist,2,10,9,1,6,0,1,2,8,CRM Tool
Certification,Lawyer,6,4,8,6,1,6,3,2,3,Video Editing Software
Self-Taught,Financial Analyst,4,10,10,1,6,0,1,10,6,Personal Finance Tool
PhD,Researcher,0,4,8,2,4,5,5,7,1,E-learning Tool
PhD,Engineer,6,2,4,4,7,6,3,6,6,Cybersecurity Tool
Doctoral Degree,Social Media Manager,5,3,0,6,1,1,6,4,1,Survey Platform
Trade School,IT Consultant,8,6,0,4,4,3,7,4,8,Design Software
Graduate Diploma,Mechanic,5,0,5,6,6,6,10,3,10,Web Application
Bachelor's Degree,Teacher,1,8,2,2,0,7,3,9,1,Survey Platform
High School,Mechanic,0,0,9,1,0,2,10,9,6,Finance & Accounting Software
Associate Degree,Business Analyst,10,8,10,1,0,3,2,8,0,Health & Fitness App
Self-Taught,Realtor,6,3,2,3,3,1,7,1,8,Health & Fitness App
PhD,Researcher,3,7,9,5,0,2,5,10,4,E-commerce
Associate's Degree,Nurse,1,10,1,1,1,0,1,7,7,Communication Tool
Self-Taught,Lawyer,8,2,6,5,5,6,10,5,9,IoT Platform
No Formal Education,Gardener,7,7,0,5,4,4,2,2,7,HR Management Software
Master's Degree,Pharmacist,9,10,8,1,4,2,6,0,1,Communication Tool
High School,Retail Worker,4,10,7,3,5,4,8,6,2,Food Delivery App
Self-Taught,Civil Engineer,5,3,8,3,0,6,3,5,3,Customer Feedback Tool
Vocational Training,Investment Banker,1,0,1,6,5,6,2,3,0,Streaming Service
Vocational Training,Tech CEO,2,5,5,5,8,4,10,7,4,Project Management Tool
Associate Degree,Social Worker,0,5,7,4,2,1,8,3,4,Cloud Storage
Doctoral Degree,Unemployed,9,0,0,3,3,1,8,3,6,Learning Management System
Doctoral Degree,Realtor,1,5,3,4,1,5,1,6,4,Remote Work Tool
Bachelor's Degree,Teacher,3,5,7,3,1,10,4,8,1,E-learning Tool
Associate Degree,Civil Engineer,5,2,0,2,5,4,8,1,0,Design Software
Trade School,Photographer,6,6,9,1,4,1,10,2,0,Music Production Software
Associate's Degree,UX/UI Designer,2,10,6,2,0,6,8,6,8,Web Application
Postdoctoral Studies,Chef,8,4,8,0,5,5,7,5,2,Collaboration Tool
PhD,Engineer,5,8,2,1,8,1,8,5,10,Personal Finance Tool
Professional Training,Copywriter,10,4,0,2,3,0,9,10,4,Photo Editing Software
Graduate Diploma,Financial Analyst,8,10,6,6,6,0,5,7,0,E-commerce
High School,Construction Worker,6,1,8,6,4,2,5,1,10,Communication Tool
Doctoral Degree,Public Relations Specialist,0,2,2,0,2,6,0,9,10,Remote Work Tool
No Formal Education,Sales Agent,2,5,1,5,1,5,4,10,1,Gaming Platform
Self-Taught,Data Scientist,6,10,8,9,2,3,4,3,0,Data Analytics Tool
PhD,Scientist,0,8,8,3,1,4,3,6,4,Virtual Reality Tool
Graduate Diploma,Web Developer,7,3,2,7,5,3,0,0,10,Data Analytics Tool
Certification,Sales Agent,2,5,10,4,0,5,5,2,8,Food Delivery App
High School,Gardener,3,10,0,6,5,3,1,10,0,Mobile App
Graduate Diploma,Engineer,0,2,3,0,10,3,5,10,4,Business Intelligence Software
High School,Retail Worker,8,2,2,1,4,6,5,10,8,E-commerce
Associate's Degree,Nurse,7,4,4,2,4,6,6,9,7,Photo Editing Software
No Formal Education,Sales Agent,5,4,7,1,0,4,10,0,10,Data Analytics Tool
Doctoral Degree,Mechanic,1,2,6,6,1,6,6,10,3,CRM Tool
No Formal Education,Waiter,1,8,5,5,4,2,7,3,9,Personal Finance Tool
Postdoctoral Studies,Realtor,0,4,0,3,4,0,2,9,8,Educational Platform
Associate Degree,HR Manager,9,3,8,5,5,2,3,2,7,Cybersecurity Tool
Self-Taught,Unemployed,3,4,8,1,6,0,0,10,1,HR Management Software
No Formal Education,Construction Worker,10,9,1,2,0,6,9,7,6,Communication Tool
MBA,Business Analyst,5,4,3,0,6,2,7,3,10,Learning Management System
Master's Degree,Lawyer,0,9,6,0,2,4,8,2,10,Business Intelligence Software
MBA,Scientist,10,0,9,1,0,5,0,1,8,Educational Platform
Trade School,Marketer,9,7,0,3,1,6,1,3,6,Real Estate Software
Doctoral Degree,Public Speaker,2,5,3,6,5,5,2,10,3,Artificial Intelligence Tool
Bachelor's Degree,Architect,4,0,7,0,2,0,0,5,4,Educational Platform
Professional Training,Construction Manager,4,3,1,1,6,6,7,0,1,CRM Tool
Bachelor's Degree,Software Engineer,6,8,7,7,1,6,3,1,3,Artificial Intelligence Tool
PhD,University Professor,5,8,3,6,1,3,7,6,9,E-learning Tool
Master's Degree,Pharmacist,6,5,4,4,4,3,6,3,9,Music Production Software
No Formal Education,Waiter,1,10,5,4,2,5,8,6,10,Survey Platform
No Formal Education,Construction Worker,10,2,1,3,6,0,1,3,10,Communication Tool
High School,Mechanic,1,10,4,2,0,0,2,4,2,Communication Tool
Certification,Dentist,6,0,9,4,1,5,5,3,6,E-commerce
Associate's Degree,Photographer,4,1,3,1,1,3,6,5,0,E-commerce
Professional Training,Marketer,7,1,4,5,1,1,9,0,5,Enterprise Software
High School,Mechanic,6,5,6,2,6,3,0,10,4,Collaboration Tool
Graduate Diploma,Editor,2,5,5,5,2,3,9,0,6,Food Delivery App
Self-Taught,Project Manager,9,5,8,3,4,0,3,5,7,Gaming Platform
PhD,Researcher,5,3,3,3,2,6,3,10,5,Survey Platform
No Formal Education,Construction Worker,4,5,4,1,1,1,8,0,0,Project Management Tool
Graduate Diploma,Marketer,6,7,4,5,0,1,5,6,1,Virtual Reality Tool
No Formal Education,Sales Agent,3,0,3,0,1,2,6,5,10,Personal Finance Tool
Graduate Diploma,Public Speaker,3,9,10,6,3,1,1,1,7,Gaming Platform
Professional Training,Civil Engineer,5,6,9,3,5,0,8,10,4,Enterprise Software
PhD,Engineer,3,1,4,2,7,5,7,3,0,Gaming Platform
Certification,Copywriter,2,2,10,5,4,4,4,9,0,Artificial Intelligence Tool
Certification,UX/UI Designer,9,10,1,2,5,1,9,9,2,Web Application
High School,Electrician,1,0,4,0,3,2,7,6,9,Gaming Platform
Self-Taught,Social Media Manager,6,1,7,5,0,0,6,9,8,Remote Work Tool
Trade School,Social Worker,2,0,5,3,2,3,7,3,5,Business Intelligence Software
Graduate Diploma,Construction Manager,10,3,9,4,0,1,10,5,8,Photo Editing Software
Vocational Training,Unemployed,10,10,9,5,5,0,8,6,8,Enterprise Software
Postdoctoral Studies,Marketer,3,8,1,3,4,1,5,7,0,Artificial Intelligence Tool
Master's Degree,Scientist,4,6,9,5,2,2,4,3,8,Personal Finance Tool
Graduate Diploma,Financial Analyst,9,3,7,2,5,1,9,8,1,Data Analytics Tool
Postdoctoral Studies,Nurse,1,1,4,4,2,2,4,8,4,Music Production Software
Trade School,Software Engineer,8,10,6,7,5,6,2,9,7,Artificial Intelligence Tool
Vocational Training,Public Relations Specialist,2,10,6,4,2,4,7,3,5,Real Estate Software
Doctoral Degree,Unemployed,10,5,3,6,4,0,4,5,6,IoT Platform
Certification,Dentist,9,4,2,0,6,1,2,8,0,Learning Management System
Master's Degree,University Professor,8,10,0,2,3,5,6,0,7,E-learning Tool
Certification,Pharmacist,0,8,9,1,3,2,4,7,8,Virtual Reality Tool
No Formal Education,Retail Worker,0,8,1,0,0,4,4,1,0,Food Delivery App
Certification,Social Worker,0,6,6,3,4,1,6,3,2,Streaming Service
Graduate Diploma,Accountant,8,6,7,2,5,1,5,1,3,Communication Tool
Self-Taught,Financial Analyst,7,8,1,4,3,1,8,1,5,Business Intelligence Software
Trade School,Software Engineer,4,3,10,10,5,3,5,10,9,SaaS Platform
High School,Construction Worker,9,6,5,3,4,5,4,2,7,Communication Tool
Associate Degree,Social Worker,0,1,5,2,4,3,5,5,7,Design Software
Master's Degree,Pharmacist,2,8,1,4,2,6,0,9,10,Collaboration Tool
Master's Degree,Lawyer,5,9,8,3,2,2,10,9,9,Web Application
No Formal Education,Construction Worker,6,1,10,2,1,6,7,8,2,Communication Tool
No Formal Education,Retail Worker,9,4,6,0,2,6,0,10,8,Mobile App
PhD,Engineer,3,4,2,5,7,0,2,4,10,Video Editing Software
MBA,Data Scientist,5,1,1,7,6,0,9,10,4,Artificial Intelligence Tool
Professional Training,Retail Worker,9,8,0,6,5,0,3,4,6,Mobile App
Graduate Diploma,Retail Worker,5,4,6,1,1,0,5,5,6,Mobile App
Bachelor's Degree,Designer,2,3,0,2,5,4,2,10,1,Artificial Intelligence Tool
Trade School,Waiter,1,1,4,2,6,6,0,1,3,IoT Platform
Certification,Public Relations Specialist,7,7,5,1,1,1,2,2,4,Blockchain Platform
No Formal Education,Construction Worker,7,9,8,5,1,2,8,10,8,Communication Tool
Self-Taught,Public Speaker,10,7,10,4,1,2,7,4,8,Streaming Service
Vocational Training,Investment Banker,3,9,1,4,0,2,8,1,5,Design Software
Self-Taught,Scientist,10,8,3,1,2,3,5,7,9,Cloud Storage
No Formal Education,Sales Agent,10,7,6,0,1,6,1,5,4,Remote Work Tool
Graduate Diploma,Copywriter,1,3,8,0,6,3,7,2,1,Music Production Software
Vocational Training,Pharmacist,4,9,1,5,3,3,6,6,3,Photo Editing Software
Doctoral Degree,Waiter,4,9,4,0,4,5,9,8,5,Productivity Tool
Bachelor's Degree,Product Manager,4,1,4,2,7,5,9,7,1,Video Editing Software
Certification,Customer Support,0,6,6,3,3,4,4,4,8,Artificial Intelligence Tool
PhD,Scientist,7,5,2,5,0,3,4,5,5,Blockchain Platform
High School,Sales Agent,4,10,6,5,4,3,4,3,0,Survey Platform
High School,Sales Agent,9,5,3,5,6,3,0,1,6,Collaboration Tool
Master's Degree,Lawyer,5,0,7,6,5,3,0,10,6,Cloud Storage
MBA,Lawyer,4,2,10,2,6,6,6,9,2,Customer Feedback Tool
Associate Degree,Marketer,6,7,4,5,0,4,7,5,2,Project Management Tool
High School,Electrician,2,2,0,2,1,4,5,10,5,IoT Platform
