Education,Occupation,Proficiency,Level of Frustration,Curiosity,Tech Savviness,Tech Flexibility,Level of Intuition,Pain Points,Functional Need,Emotional Need,Product Type
Professional Training,Project Manager,8,7,10,2,5,5,2,6,1,Photo Editing Software
Graduate Diploma,Teacher,10,3,7,5,0,7,7,4,6,Blockchain Platform
Self-Taught,Social Media Manager,0,8,3,6,0,5,4,0,6,Cybersecurity Tool
PhD,Researcher,1,5,3,5,3,2,6,0,6,Personal Finance Tool
Graduate Diploma,Construction Worker,1,1,0,3,3,5,2,6,2,Project Management Tool
Associate Degree,Gardener,8,2,5,2,2,1,3,3,4,Communication Tool
Graduate Diploma,Copywriter,4,3,0,3,6,0,7,6,6,Finance & Accounting Software
Self-Taught,Writer,10,9,8,5,5,6,7,5,3,Survey Platform
Graduate Diploma,Tourism Manager,1,6,4,4,2,0,2,9,3,Music Production Software
Master's Degree,Lawyer,7,4,9,3,6,0,7,4,7,E-learning Tool
Master's Degree,Pharmacist,4,8,9,0,0,3,1,10,4,Collaboration Tool
Bachelor's Degree,Teacher,8,7,4,0,2,8,9,5,5,Streaming Service
Master's Degree,Scientist,8,8,4,4,6,0,4,10,10,Finance & Accounting Software
Bachelor's Degree,Product Manager,9,5,2,5,8,2,1,8,3,Virtual Reality Tool
PhD,Scientist,2,2,4,6,5,2,9,2,6,Business Intelligence Software
Doctoral Degree,Realtor,10,3,1,1,6,6,3,0,8,Photo Editing Software
Associate's Degree,Nurse,1,3,7,0,6,6,8,10,0,Communication Tool
Self-Taught,Accountant,1,0,6,5,0,1,10,2,6,SaaS Platform
Vocational Training,Marketer,5,6,7,5,1,2,2,0,3,Cybersecurity Tool
Postdoctoral Studies,Marketer,7,4,1,6,4,3,0,7,9,HR Management Software
Postdoctoral Studies,Customer Support,8,4,9,6,3,3,6,5,9,Cybersecurity Tool
Associate's Degree,Customer Support,4,3,9,6,2,0,8,8,2,Business Intelligence Software
Postdoctoral Studies,Public Speaker,9,7,3,1,3,0,6,2,10,E-commerce
Vocational Training,Tech CEO,9,3,5,2,9,6,8,3,0,Enterprise Software
No Formal Education,Construction Worker,3,3,7,2,2,5,7,6,1,Project Management Tool
MBA,Social Media Manager,4,9,4,4,4,3,4,8,0,IoT Platform
Graduate Diploma,Waiter,8,1,2,1,2,1,8,10,5,Communication Tool
Associate Degree,Electrician,2,10,6,3,4,2,0,3,5,Virtual Reality Tool
MBA,IT Consultant,1,5,3,0,6,5,0,2,7,Business Intelligence Software
Associate Degree,Artist,3,0,0,4,3,9,6,10,9,Food Delivery App
Bachelor's Degree,Data Scientist,7,6,4,7,0,0,5,1,2,Business Intelligence Software
Vocational Training,Waiter,6,4,0,6,2,6,2,2,4,Travel App
High School,Retail Worker,10,9,8,1,6,0,1,2,2,Food Delivery App
Certification,Dentist,6,7,6,3,1,4,6,5,10,E-commerce
Trade School,Artist,9,10,0,3,3,10,2,7,7,Design Software
PhD,Scientist,4,9,1,5,4,6,9,4,9,HR Management Software
Trade School,Public Relations Specialist,6,8,2,0,5,1,0,4,1,Educational Platform
Graduate Diploma,Business Analyst,10,5,1,6,2,5,5,1,8,Blockchain Platform
Master's Degree,Scientist,8,1,2,4,4,5,6,5,2,Health & Fitness App
Vocational Training,Lawyer,9,6,1,0,1,4,9,10,7,Educational Platform
MBA,Product Manager,10,5,10,3,8,0,10,5,10,Gaming Platform
Associate Degree,Social Worker,7,2,2,0,6,1,2,1,10,Blockchain Platform
Vocational Training,Business Analyst,9,1,3,6,4,1,2,8,8,Customer Feedback Tool
Doctoral Degree,Physician,1,8,2,6,3,3,0,9,5,IoT Platform
Self-Taught,Web Developer,6,2,5,8,5,3,2,2,7,IoT Platform
PhD,Engineer,9,9,0,0,8,1,5,1,1,Mobile App
Bachelor's Degree,Designer,6,8,9,1,0,2,4,10,10,Project Management Tool
Professional Training,Editor,4,6,7,4,1,5,6,5,3,Enterprise Software
MBA,Artist,6,3,10,0,3,7,5,8,3,Design Software
Certification,Electrician,4,6,7,1,3,1,9,4,10,Marketing Automation Tool
Associate's Degree,Web Developer,5,6,3,9,0,0,4,7,5,Remote Work Tool
PhD,University Professor,7,3,2,5,0,2,7,0,7,Educational Platform
Associate's Degree,Photographer,9,5,8,0,5,6,6,7,2,Remote Work Tool
Self-Taught,Pharmacist,4,2,3,6,5,4,3,10,0,Cloud Storage
Vocational Training,HR Manager,1,5,8,4,2,0,6,7,3,SaaS Platform
PhD,Researcher,4,4,7,3,6,4,0,8,5,Educational Platform
MBA,Artist,5,9,7,1,1,10,8,9,9,Augmented Reality App
PhD,Researcher,0,2,6,2,2,0,3,0,1,CRM Tool
Professional Training,HR Manager,1,8,0,5,5,2,6,1,8,Cloud Storage
High School,Retail Worker,4,8,1,6,6,3,9,7,4,E-commerce
Professional Training,HR Manager,0,1,10,1,3,0,0,2,5,SaaS Platform
MBA,Public Speaker,7,10,6,3,5,4,10,1,2,Business Intelligence Software
PhD,Researcher,10,6,2,6,4,0,3,0,2,Music Production Software
Postdoctoral Studies,Gardener,9,0,9,2,0,3,7,10,6,Remote Work Tool
Certification,Graphic Designer,3,0,3,5,4,4,6,10,4,Photo Editing Software
Vocational Training,Project Manager,6,6,8,5,5,5,1,1,6,Project Management Tool
PhD,Scientist,10,1,2,1,4,2,8,10,9,Food Delivery App
Associate's Degree,Nurse,9,8,4,0,3,5,9,6,6,Personal Finance Tool
Graduate Diploma,Customer Support,10,9,2,5,5,5,2,9,7,Finance & Accounting Software
Trade School,Copywriter,3,5,9,2,2,0,5,10,5,Remote Work Tool
Graduate Diploma,Marketer,4,5,7,1,2,5,8,2,2,Design Software
Associate's Degree,Photographer,1,1,2,3,3,2,5,4,5,Communication Tool
MBA,Retail Worker,7,0,9,6,4,6,0,6,10,Mobile App
MBA,HR Manager,4,4,6,2,3,3,9,7,6,Cybersecurity Tool
Trade School,Chef,9,2,0,5,5,1,10,1,10,Mobile App
Professional Training,Electrician,7,3,1,3,1,4,3,4,3,Web Application
Professional Training,Social Media Manager,8,1,5,1,6,1,4,0,8,Travel App
MBA,Project Manager,4,5,5,3,6,3,0,6,10,Health & Fitness App
Self-Taught,Photographer,8,5,10,5,2,2,7,2,3,Finance & Accounting Software
Associate's Degree,Photographer,9,5,4,0,5,0,2,1,10,Survey Platform
Bachelor's Degree,Designer,9,4,7,4,1,5,9,8,7,Customer Feedback Tool
MBA,Copywriter,8,9,9,3,6,6,7,5,1,Health & Fitness App
Associate Degree,Social Media Manager,3,8,6,4,2,2,3,10,1,Survey Platform
Professional Training,Mechanic,0,7,10,6,6,6,8,3,10,Virtual Reality Tool
Certification,Teacher,8,1,9,4,3,9,8,10,3,Music Production Software
Self-Taught,Gardener,5,4,9,6,1,2,4,3,3,CRM Tool
Associate's Degree,UX/UI Designer,0,2,6,3,2,2,5,5,8,Web Application
Professional Training,Customer Support,3,10,10,4,0,6,4,10,5,Music Production Software
Associate Degree,Nurse,6,10,0,1,3,4,6,2,5,HR Management Software
PhD,Scientist,9,4,3,4,6,5,7,5,1,Productivity Tool
MBA,Project Manager,3,4,5,5,1,6,9,0,8,Music Production Software
MBA,Mechanic,9,1,9,0,4,2,3,6,9,E-commerce
Vocational Training,Project Manager,5,1,7,5,2,5,5,9,4,Survey Platform
Postdoctoral Studies,Graphic Designer,1,4,5,4,2,2,4,6,1,Learning Management System
PhD,Scientist,7,5,9,5,4,4,1,8,8,Photo Editing Software
High School,Mechanic,5,2,6,5,5,0,4,10,7,Cybersecurity Tool
Graduate Diploma,Copywriter,6,4,4,1,5,6,6,5,9,IoT Platform
Certification,Investment Banker,9,3,9,0,3,0,4,5,1,IoT Platform
Self-Taught,Civil Engineer,3,8,5,4,1,6,5,3,9,Cloud Storage
Doctoral Degree,Waiter,2,3,8,6,1,6,1,5,10,Cloud Storage
Associate's Degree,Customer Support,5,1,6,5,4,1,9,4,8,E-commerce
Associate Degree,Gardener,5,6,5,1,0,1,1,2,3,Customer Feedback Tool
Professional Training,Pharmacist,2,8,5,6,3,5,6,10,5,CRM Tool
Self-Taught,Artist,3,4,1,3,4,8,2,4,5,Photo Editing Software
High School,Mechanic,0,0,7,4,5,3,5,6,4,CRM Tool
Master's Degree,Scientist,6,10,10,3,1,3,3,1,5,Travel App
High School,Electrician,0,7,2,2,3,2,8,1,9,Communication Tool
Trade School,Construction Manager,9,8,4,1,6,0,10,10,10,Finance & Accounting Software
No Formal Education,Construction Worker,4,7,8,5,0,6,8,7,3,Project Management Tool
Trade School,Mechanic,4,4,7,6,0,1,3,9,2,Food Delivery App
Self-Taught,Sales Agent,9,4,1,4,6,3,2,4,0,Collaboration Tool
Professional Training,Photographer,0,2,4,1,2,2,4,5,10,Augmented Reality App
Vocational Training,Writer,4,6,9,5,4,1,10,7,5,Business Intelligence Software
Vocational Training,Customer Support,6,8,1,1,6,2,9,6,4,Collaboration Tool
Postdoctoral Studies,Software Engineer,2,7,4,10,6,4,0,3,7,Enterprise Software
Self-Taught,Public Speaker,3,9,0,5,1,3,8,10,5,Remote Work Tool
Professional Training,Construction Worker,2,10,9,1,6,1,0,0,6,Project Management Tool
Certification,Investment Banker,9,9,7,6,3,2,7,3,9,Cybersecurity Tool
Master's Degree,University Professor,1,1,7,5,6,0,9,3,9,Educational Platform
Certification,Sales Agent,8,8,0,2,5,4,3,4,7,Cybersecurity Tool
Certification,Data Scientist,0,8,1,8,2,2,9,8,9,Business Intelligence Software
Bachelor's Degree,Designer,6,5,7,5,3,0,2,8,8,Artificial Intelligence Tool
Certification,University Professor,5,8,7,2,4,2,9,7,8,Educational Platform
Self-Taught,Copywriter,1,8,9,5,2,4,5,6,10,Productivity Tool
No Formal Education,Gardener,2,4,8,5,2,3,9,10,10,Learning Management System
Self-Taught,Public Speaker,5,7,4,6,4,0,5,6,4,Health & Fitness App
Certification,Waiter,6,1,9,5,2,0,9,0,8,E-commerce
Postdoctoral Studies,Accountant,2,1,3,0,6,1,6,8,1,Customer Feedback Tool
Trade School,Retail Worker,4,3,7,5,4,0,8,3,0,Food Delivery App
Vocational Training,Lawyer,7,4,6,3,5,4,9,8,8,Video Editing Software
Professional Training,Civil Engineer,5,6,8,6,4,2,10,6,2,Gaming Platform
Certification,Pharmacist,5,3,3,2,3,1,10,5,7,Real Estate Software
Doctoral Degree,Mechanic,2,0,8,0,0,2,9,3,6,Marketing Automation Tool
Associate's Degree,Customer Support,7,1,4,6,4,4,10,6,8,Travel App
Postdoctoral Studies,Sales Agent,8,9,7,0,1,1,6,3,9,Augmented Reality App
Associate Degree,Project Manager,0,0,0,2,6,1,3,6,6,Business Intelligence Software
Graduate Diploma,Sales Agent,6,9,1,4,3,2,8,3,6,Streaming Service
High School,Electrician,1,9,5,1,4,1,7,6,10,Remote Work Tool
Master's Degree,Scientist,8,10,5,5,2,0,0,10,9,Health & Fitness App
Professional Training,Tech CEO,8,6,1,6,9,3,4,6,7,Enterprise Software
Associate Degree,Physician,1,1,3,0,6,1,1,5,9,E-learning Tool
Professional Training,Waiter,6,2,2,5,6,3,2,2,9,Data Analytics Tool
Trade School,Architect,4,5,10,6,4,0,10,8,1,Business Intelligence Software
High School,Electrician,1,0,3,3,1,4,0,9,1,Customer Feedback Tool
High School,Sales Agent,7,9,6,1,1,1,1,3,2,IoT Platform
Doctoral Degree,Gardener,1,10,5,5,4,5,9,0,8,CRM Tool
High School,Mechanic,7,8,0,2,2,1,3,7,5,Cybersecurity Tool
Vocational Training,Scientist,5,7,9,2,5,5,1,3,3,Cybersecurity Tool
Associate's Degree,UX/UI Designer,8,4,2,3,1,5,2,6,8,Web Application
MBA,Copywriter,1,3,10,4,2,2,6,9,4,Communication Tool
Graduate Diploma,UX/UI Designer,10,9,6,1,0,1,2,4,2,Mobile App
Self-Taught,Chef,1,0,2,6,1,6,8,10,3,Marketing Automation Tool
Vocational Training,Civil Engineer,9,5,10,5,0,3,5,2,10,Marketing Automation Tool
Certification,Electrician,1,4,2,4,4,5,3,2,0,Travel App
Vocational Training,UX/UI Designer,6,1,6,6,4,4,9,4,3,Web Application
Doctoral Degree,Engineer,8,3,7,2,8,4,9,4,1,CRM Tool
Postdoctoral Studies,Marketer,5,6,1,0,6,0,4,1,1,Augmented Reality App
Trade School,Construction Worker,4,0,4,5,4,4,3,0,7,Communication Tool
Certification,Event Planner,8,9,1,4,4,2,5,9,1,Music Production Software
PhD,University Professor,3,10,3,0,1,1,7,10,0,Educational Platform
No Formal Education,Construction Worker,4,8,9,4,1,3,3,4,1,Project Management Tool
Vocational Training,Artist,6,1,5,6,2,10,8,9,6,Educational Platform
Associate Degree,Graphic Designer,0,6,1,6,3,4,9,10,9,Streaming Service
PhD,Engineer,2,2,5,1,7,5,3,0,7,Real Estate Software
Associate's Degree,Customer Support,1,9,9,4,3,5,8,1,5,Marketing Automation Tool
High School,Sales Agent,7,7,10,0,1,3,1,10,7,Real Estate Software
Associate Degree,Engineer,9,9,9,1,10,3,0,9,2,HR Management Software
MBA,University Professor,5,10,10,1,6,6,4,5,10,CRM Tool
Professional Training,Teacher,1,6,6,0,0,8,10,8,2,HR Management Software
Master's Degree,University Professor,10,1,6,6,4,3,7,0,5,CRM Tool
Bachelor's Degree,Product Manager,2,5,6,3,9,3,2,6,5,Real Estate Software
Graduate Diploma,Product Manager,8,9,1,3,9,5,4,9,6,E-learning Tool
Associate's Degree,Nurse,7,6,4,2,1,3,2,9,9,Communication Tool
High School,Mechanic,2,9,3,0,4,5,4,6,7,Augmented Reality App
Master's Degree,Lawyer,1,7,10,3,1,4,10,4,10,Augmented Reality App
High School,Sales Agent,8,9,2,1,6,3,2,2,9,Educational Platform
Postdoctoral Studies,Copywriter,9,3,0,2,2,5,5,5,9,Artificial Intelligence Tool
Graduate Diploma,UX/UI Designer,6,10,2,3,5,4,6,6,9,Web Application
Postdoctoral Studies,Writer,9,0,10,4,2,0,6,0,7,E-learning Tool
MBA,Tech CEO,4,3,6,1,7,0,9,9,7,CRM Tool
Bachelor's Degree,Data Scientist,8,5,9,8,0,2,1,2,3,Data Analytics Tool
Certification,Marketer,3,0,6,4,5,0,4,9,2,Data Analytics Tool
Associate Degree,Unemployed,1,7,4,2,3,5,9,0,4,Food Delivery App
Bachelor's Degree,Teacher,10,10,9,4,3,9,9,10,6,Cloud Storage
Professional Training,Physician,8,3,4,2,0,6,0,8,1,Streaming Service
High School,Sales Agent,1,0,6,2,4,6,1,5,6,Finance & Accounting Software
Trade School,Engineer,9,4,0,0,7,6,2,3,2,Project Management Tool
MBA,Software Engineer,6,9,0,7,5,1,1,8,0,Cloud Storage
Master's Degree,Engineer,1,6,9,0,10,4,3,0,2,Mobile App
High School,Mechanic,7,2,5,0,0,2,5,1,5,E-learning Tool
Bachelor's Degree,Product Manager,7,6,0,6,9,2,3,1,5,SaaS Platform
Graduate Diploma,Accountant,1,9,3,2,2,3,1,1,10,E-commerce
Vocational Training,IT Consultant,9,4,2,5,5,5,5,9,0,Gaming Platform
PhD,Scientist,0,5,10,0,5,1,6,0,2,Real Estate Software
Vocational Training,Investment Banker,2,8,7,3,3,0,9,5,0,IoT Platform
MBA,Customer Support,2,4,1,0,2,4,8,5,10,Artificial Intelligence Tool
MBA,Business Analyst,0,2,6,5,5,5,4,1,3,Artificial Intelligence Tool
MBA,Engineer,7,10,9,0,9,1,4,2,3,Travel App
Bachelor's Degree,Software Engineer,10,10,5,10,6,6,2,7,4,Artificial Intelligence Tool
PhD,Researcher,5,6,2,0,1,5,0,9,7,Collaboration Tool
MBA,University Professor,4,3,5,5,5,3,9,0,6,Educational Platform
High School,Gardener,0,3,3,2,2,3,7,1,8,Project Management Tool
Graduate Diploma,Event Planner,6,9,4,4,3,4,9,10,8,Augmented Reality App
Graduate Diploma,Accountant,2,5,3,5,6,4,1,3,7,SaaS Platform
Professional Training,Software Engineer,0,6,4,7,6,5,1,4,0,Cloud Storage
Vocational Training,Social Worker,4,10,10,2,5,4,9,4,5,Streaming Service
Postdoctoral Studies,Event Planner,9,2,2,0,3,4,1,2,1,Productivity Tool
Bachelor's Degree,Architect,0,8,5,5,0,0,7,8,6,Food Delivery App
Vocational Training,Financial Analyst,6,4,5,5,6,3,1,2,2,Mobile App
Professional Training,Tourism Manager,0,1,4,3,5,3,9,5,4,Finance & Accounting Software
PhD,Engineer,0,0,9,2,10,4,3,1,6,CRM Tool
Trade School,Marketer,6,8,2,0,3,3,9,6,5,Data Analytics Tool
Vocational Training,Realtor,0,7,4,3,1,2,6,0,4,E-learning Tool
Certification,Social Worker,7,8,1,4,1,1,0,8,2,Data Analytics Tool
Master's Degree,Engineer,0,4,1,4,7,6,8,7,0,Learning Management System
Bachelor's Degree,Data Scientist,10,7,2,9,0,0,8,8,4,Artificial Intelligence Tool
Associate's Degree,UX/UI Designer,8,3,2,3,1,2,2,3,1,Mobile App
Professional Training,Product Manager,4,8,9,1,8,5,0,10,3,Design Software
Self-Taught,Accountant,9,9,8,3,3,4,1,5,0,Data Analytics Tool
Associate Degree,Financial Analyst,2,9,0,5,1,3,8,10,7,Marketing Automation Tool
No Formal Education,Sales Agent,10,8,3,2,3,3,3,3,8,Video Editing Software
Certification,Data Scientist,2,9,8,10,6,6,7,4,6,Business Intelligence Software
Master's Degree,Lawyer,10,10,4,0,2,1,3,2,1,Enterprise Software
Doctoral Degree,Tech CEO,3,1,0,4,7,6,4,7,0,Enterprise Software
MBA,Waiter,5,6,1,5,3,2,7,1,6,Streaming Service
Postdoctoral Studies,Business Analyst,9,5,4,0,5,6,8,7,8,Music Production Software
MBA,Dentist,2,6,4,6,5,3,5,9,10,Design Software
Associate Degree,Physician,1,1,7,6,1,5,7,3,9,SaaS Platform
High School,Sales Agent,2,6,7,4,1,2,4,10,8,Photo Editing Software
Trade School,Event Planner,5,0,1,4,1,4,10,4,2,Customer Feedback Tool
Professional Training,Product Manager,7,10,3,4,7,6,1,9,1,Cybersecurity Tool
Bachelor's Degree,Teacher,8,5,10,0,1,7,10,7,0,Streaming Service
Associate Degree,Construction Manager,7,10,7,0,1,5,8,2,2,Remote Work Tool
Postdoctoral Studies,Customer Support,1,0,7,6,4,3,2,6,4,E-commerce
Master's Degree,University Professor,0,3,6,1,2,5,6,7,10,E-learning Tool
Self-Taught,Investment Banker,9,9,8,3,1,2,10,7,5,Personal Finance Tool
Doctoral Degree,Customer Support,7,9,8,4,5,3,7,0,8,Business Intelligence Software
Professional Training,Editor,0,2,9,6,3,6,3,2,0,Augmented Reality App
Professional Training,Chef,5,4,6,0,3,1,3,1,7,IoT Platform
Graduate Diploma,Graphic Designer,2,2,1,4,6,0,4,3,0,Web Application
MBA,University Professor,8,5,10,4,6,4,1,0,6,E-learning Tool
Associate Degree,Business Analyst,3,2,7,1,3,3,7,6,1,Music Production Software
Graduate Diploma,Physician,6,5,3,1,0,4,10,6,7,Educational Platform
Certification,Photographer,1,8,3,0,2,4,1,2,1,Customer Feedback Tool
Postdoctoral Studies,Accountant,7,4,7,0,6,6,9,8,10,Photo Editing Software
Vocational Training,Marketer,9,6,3,6,0,3,2,5,4,Learning Management System
Trade School,Copywriter,10,3,3,2,1,4,3,4,2,Cloud Storage
Associate's Degree,Customer Support,3,1,1,1,6,1,9,1,9,Streaming Service
Certification,Engineer,0,6,1,0,10,3,5,3,4,Streaming Service
Professional Training,Dentist,5,5,2,3,0,0,1,1,0,Design Software
PhD,Researcher,5,2,4,3,3,6,8,9,5,Gaming Platform
Associate Degree,Customer Support,1,6,6,6,6,0,8,1,2,Finance & Accounting Software
Vocational Training,Investment Banker,4,1,4,4,2,1,6,2,7,Streaming Service
PhD,Engineer,4,5,2,6,7,4,8,3,7,Web Application
Bachelor's Degree,Teacher,8,10,2,2,1,9,9,9,9,CRM Tool
Vocational Training,Customer Support,2,5,10,2,2,6,2,0,10,Survey Platform
MBA,Physician,4,4,9,4,0,6,1,1,5,Photo Editing Software
Vocational Training,Nurse,1,2,8,5,1,4,3,10,8,Travel App
Certification,Construction Manager,4,7,1,6,5,1,5,0,6,Communication Tool
Associate Degree,IT Consultant,9,4,10,2,1,3,8,0,7,Travel App
Certification,Social Worker,2,0,10,6,5,6,3,9,3,Enterprise Software
Vocational Training,Construction Manager,2,0,1,0,5,5,3,6,6,Virtual Reality Tool
Associate Degree,Freelance Designer,2,5,4,4,1,9,9,0,0,Photo Editing Software
Vocational Training,Accountant,4,5,1,5,3,3,1,1,0,Customer Feedback Tool
Professional Training,Product Manager,2,5,5,1,8,4,10,7,7,Remote Work Tool
Trade School,Gardener,7,9,7,2,4,3,3,0,4,Gaming Platform
Graduate Diploma,Nurse,2,1,8,3,4,6,9,4,10,Food Delivery App
Associate Degree,Lawyer,1,8,0,2,5,6,7,9,6,Travel App
High School,Mechanic,0,6,0,4,4,6,6,4,9,Gaming Platform
Trade School,Software Engineer,7,6,4,9,3,4,1,0,5,Cloud Storage
Professional Training,Unemployed,2,4,7,6,1,4,0,0,8,Real Estate Software
MBA,Physician,6,1,9,3,0,2,7,5,9,Music Production Software
Associate Degree,Waiter,5,3,3,2,2,1,6,8,10,Collaboration Tool
High School,Electrician,2,7,3,3,5,6,6,6,8,Mobile App
Doctoral Degree,Construction Manager,7,7,4,0,1,5,6,4,6,CRM Tool
Professional Training,Lawyer,8,7,8,0,5,0,5,1,10,Data Analytics Tool
No Formal Education,Gardener,7,8,10,1,6,3,6,10,7,Cybersecurity Tool
Associate's Degree,Photographer,1,7,4,0,1,1,8,6,0,E-learning Tool
Associate's Degree,Customer Support,1,0,7,6,6,5,4,9,5,Photo Editing Software
Graduate Diploma,Web Developer,7,3,8,7,1,0,7,0,8,Productivity Tool
High School,Electrician,9,10,4,3,1,5,2,10,7,Travel App
No Formal Education,Waiter,6,9,10,2,5,0,9,3,1,Cloud Storage
PhD,University Professor,3,6,4,0,0,3,8,3,10,CRM Tool
Professional Training,Dentist,8,7,7,6,1,3,7,3,8,Video Editing Software
High School,Sales Agent,0,8,1,3,0,6,9,7,1,IoT Platform
High School,Retail Worker,0,1,10,5,1,6,0,8,8,Mobile App
PhD,Scientist,0,0,4,6,2,4,10,5,0,Web Application
Graduate Diploma,Sales Agent,2,5,7,3,4,2,0,2,1,Data Analytics Tool
Postdoctoral Studies,IT Consultant,6,4,8,1,3,5,1,10,3,Health & Fitness App
Doctoral Degree,Mechanic,1,0,2,4,4,6,10,9,4,Collaboration Tool
Vocational Training,Architect,7,6,6,3,0,3,2,1,7,Personal Finance Tool
Bachelor's Degree,Designer,9,0,8,1,4,2,3,2,5,Educational Platform
Professional Training,Copywriter,8,0,0,3,4,4,2,9,6,Communication Tool
High School,Retail Worker,4,6,4,3,6,1,3,4,7,E-commerce
Bachelor's Degree,Architect,6,6,0,0,2,2,2,4,7,E-commerce
Graduate Diploma,Chef,10,2,2,5,6,4,8,1,1,Educational Platform
Postdoctoral Studies,Financial Analyst,0,5,1,6,5,5,3,4,0,CRM Tool
Master's Degree,Engineer,7,4,10,4,9,4,8,1,9,IoT Platform
Trade School,Construction Worker,7,1,7,5,2,6,3,1,4,Communication Tool
Trade School,IT Consultant,10,7,2,2,1,6,9,3,10,SaaS Platform
Doctoral Degree,Waiter,5,2,4,1,4,5,2,3,3,Health & Fitness App
Doctoral Degree,Realtor,2,6,8,0,0,4,3,8,7,Finance & Accounting Software
Graduate Diploma,Nurse,7,9,4,1,0,3,1,7,7,Photo Editing Software
